2026-08-07 19:14:27 | INFO | reconforge | ReconForge started
2026-08-07 19:14:27 | INFO | reconforge | Target received: example.com
2026-08-07 19:14:27 | INFO | reconforge | Target normalized successfully: example.com
2026-08-07 19:14:27 | INFO | reconforge | ReconForge execution completed
2026-08-07 19:14:44 | INFO | reconforge | ReconForge started
2026-08-07 19:14:44 | INFO | reconforge | Target received: jspmrscoe.edu.in
2026-08-07 19:14:44 | INFO | reconforge | Target normalized successfully: jspmrscoe.edu.in
2026-08-07 19:14:44 | INFO | reconforge | ReconForge execution completed
2026-08-07 19:22:40 | INFO | reconforge | ReconForge started
2026-08-07 19:22:40 | INFO | reconforge | Target received: example.com
2026-08-07 19:22:40 | INFO | reconforge | Target normalized successfully: example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Starting DNS lookup for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Collected 2 A record(s) for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Collected 1 AAAA record(s) for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Collected 1 MX record(s) for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Collected 2 NS record(s) for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Collected 2 TXT record(s) for example.com
2026-08-07 19:22:40 | DEBUG | reconforge.dns | No CNAME records found for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | Collected 1 SOA record(s) for example.com
2026-08-07 19:22:40 | INFO | reconforge.dns | DNS lookup completed for example.com with status success
2026-08-07 19:22:40 | INFO | reconforge | ReconForge execution completed
2026-08-07 19:24:23 | INFO | reconforge | ReconForge started
2026-08-07 19:24:23 | INFO | reconforge | Target received: jspmrscoe.edu.in
2026-08-07 19:24:23 | INFO | reconforge | Target normalized successfully: jspmrscoe.edu.in
2026-08-07 19:24:23 | INFO | reconforge.dns | Starting DNS lookup for jspmrscoe.edu.in
2026-08-07 19:24:23 | INFO | reconforge.dns | Collected 1 A record(s) for jspmrscoe.edu.in
2026-08-07 19:24:23 | DEBUG | reconforge.dns | No AAAA records found for jspmrscoe.edu.in
2026-08-07 19:24:23 | INFO | reconforge.dns | Collected 5 MX record(s) for jspmrscoe.edu.in
